nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.212940216064453125e-01 -3.011894226074218750e-01 -4.081420898437500000e-01 -4.106464385986328125e-01 -3.706169128417968750e-01 -3.878908157348632812e-01 -3.886060714721679688e-01 -3.739376068115234375e-01 -3.659820556640625000e-01 -3.606023788452148438e-01 -3.590841293334960938e-01 -3.579821586608886719e-01 -3.561916351318359375e-01 -3.545789718627929688e-01 -3.527898788452148438e-01 -3.506031036376953125e-01 -3.481998443603515625e-01 -3.455414772033691406e-01 -3.426308631896972656e-01 -3.396353721618652344e-01 -3.367238044738769531e-01 -3.339858055114746094e-01 -3.314223289489746094e-01 -3.289904594421386719e-01 -3.266420364379882812e-01 -3.243346214294433594e-01 -3.220362663269042969e-01 -3.197298049926757812e-01 -3.174090385437011719e-01 -3.150777816772460938e-01 -3.127479553222656250e-01 -3.104338645935058594e-01 -3.081483840942382812e-01 -3.059015274047851562e-01 -3.036975860595703125e-01 -3.015358448028564453e-01 -2.994148731231689453e-01 -2.973332405090332031e-01 -2.952890396118164062e-01 -2.932825088500976562e-01 -2.913150787353515625e-01 -2.893903255462646484e-01 -2.875127792358398438e-01 -2.856872081756591797e-01 -2.839193344116210938e-01 -2.822146415710449219e-01 -2.805788516998291016e-01 -2.790172100067138672e-01 -2.775355577468872070e-01 -2.761397361755371094e-01 -2.748353481292724609e-01 -2.736288309097290039e-01 -2.725265026092529297e-01 -2.715346813201904297e-01 -2.706598043441772461e-01 -2.699079513549804688e-01 -2.692843079566955566e-01 -2.687940001487731934e-01 -2.684409022331237793e-01 -2.682277560234069824e-01 -1.340782642364501953e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.204442977905273438e-01 -2.993793487548828125e-01 -4.070777893066406250e-01 -4.094266891479492188e-01 -3.648061752319335938e-01 -3.590011596679687500e-01 -3.515005111694335938e-01 -3.547635078430175781e-01 -3.558526039123535156e-01 -3.535275459289550781e-01 -3.527107238769531250e-01 -3.514795303344726562e-01 -3.492231369018554688e-01 -3.469161987304687500e-01 -3.442187309265136719e-01 -3.409838676452636719e-01 -3.376307487487792969e-01 -3.344879150390625000e-01 -3.316893577575683594e-01 -3.291730880737304688e-01 -3.268289566040039062e-01 -3.245754241943359375e-01 -3.223476409912109375e-01 -3.201012611389160156e-01 -3.178157806396484375e-01 -3.154859542846679688e-01 -3.131213188171386719e-01 -3.107447624206542969e-01 -3.083806037902832031e-01 -3.060498237609863281e-01 -3.037648200988769531e-01 -3.015289306640625000e-01 -2.993397712707519531e-01 -2.971916198730468750e-01 -2.950797080993652344e-01 -2.930004596710205078e-01 -2.909531593322753906e-01 -2.889387607574462891e-01 -2.869617938995361328e-01 -2.850282192230224609e-01 -2.831437587738037109e-01 -2.813148498535156250e-01 -2.795481681823730469e-01 -2.778496742248535156e-01 -2.762253284454345703e-01 -2.746807336807250977e-01 -2.732219696044921875e-01 -2.718558311462402344e-01 -2.705889940261840820e-01 -2.694288492202758789e-01 -2.683825492858886719e-01 -2.674576044082641602e-01 -2.666611671447753906e-01 -2.659995555877685547e-01 -2.654784917831420898e-01 -2.651028633117675781e-01 -2.648761272430419922e-01 -1.324001550674438477e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.245365142822265625e-01 -3.168601989746093750e-01 -3.537158966064453125e-01 -3.316335678100585938e-01 -3.526182174682617188e-01 -3.571376800537109375e-01 -3.493556976318359375e-01 -3.512573242187500000e-01 -3.511939048767089844e-01 -3.478932380676269531e-01 -3.460235595703125000e-01 -3.434343338012695312e-01 -3.394536972045898438e-01 -3.354153633117675781e-01 -3.319101333618164062e-01 -3.291096687316894531e-01 -3.267502784729003906e-01 -3.245768547058105469e-01 -3.224830627441406250e-01 -3.203797340393066406e-01 -3.182063102722167969e-01 -3.159456253051757812e-01 -3.135967254638671875e-01 -3.111782073974609375e-01 -3.087286949157714844e-01 -3.062934875488281250e-01 -3.039054870605468750e-01 -3.015789985656738281e-01 -2.993142604827880859e-01 -2.971024513244628906e-01 -2.949323654174804688e-01 -2.927937507629394531e-01 -2.906801700592041016e-01 -2.885899543762207031e-01 -2.865250110626220703e-01 -2.844905853271484375e-01 -2.824943065643310547e-01 -2.805442810058593750e-01 -2.786483764648437500e-01 -2.768135070800781250e-01 -2.750465869903564453e-01 -2.733533382415771484e-01 -2.717397212982177734e-01 -2.702119350433349609e-01 -2.687770128250122070e-01 -2.674428224563598633e-01 -2.662172317504882812e-01 -2.651090621948242188e-01 -2.641270160675048828e-01 -2.632794380187988281e-01 -2.625740170478820801e-01 -2.620176672935485840e-01 -2.616161108016967773e-01 -2.613734602928161621e-01 -1.306461691856384277e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.075229644775390625e-01 -2.686982154846191406e-01 -3.669385910034179688e-01 -3.707237243652343750e-01 -3.354992866516113281e-01 -3.517684936523437500e-01 -3.541464805603027344e-01 -3.451323509216308594e-01 -3.458504676818847656e-01 -3.440403938293457031e-01 -3.379821777343750000e-01 -3.326683044433593750e-01 -3.286256790161132812e-01 -3.260889053344726562e-01 -3.241424560546875000e-01 -3.222455978393554688e-01 -3.204002380371093750e-01 -3.184819221496582031e-01 -3.163981437683105469e-01 -3.141632080078125000e-01 -3.117775917053222656e-01 -3.092651367187500000e-01 -3.066987991333007812e-01 -3.041596412658691406e-01 -3.016991615295410156e-01 -2.993316650390625000e-01 -2.970466613769531250e-01 -2.948236465454101562e-01 -2.926411628723144531e-01 -2.904822826385498047e-01 -2.883367538452148438e-01 -2.862017154693603516e-01 -2.840807437896728516e-01 -2.819812297821044922e-01 -2.799141407012939453e-01 -2.778906822204589844e-01 -2.759203910827636719e-01 -2.740113735198974609e-01 -2.721700668334960938e-01 -2.704017162322998047e-01 -2.687126398086547852e-01 -2.671089172363281250e-01 -2.655977010726928711e-01 -2.641878128051757812e-01 -2.628883123397827148e-01 -2.617095708847045898e-01 -2.606619596481323242e-01 -2.597553730010986328e-01 -2.589993476867675781e-01 -2.584021091461181641e-01 -2.579704523086547852e-01 -2.577093839645385742e-01 -1.288110017776489258e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.087775230407714844e-01 -2.701492309570312500e-01 -3.661708831787109375e-01 -3.684916496276855469e-01 -3.326392173767089844e-01 -3.482050895690917969e-01 -3.488955497741699219e-01 -3.357648849487304688e-01 -3.286495208740234375e-01 -3.238358497619628906e-01 -3.224782943725585938e-01 -3.214850425720214844e-01 -3.198633193969726562e-01 -3.183898925781250000e-01 -3.167486190795898438e-01 -3.147416114807128906e-01 -3.125319480895996094e-01 -3.100857734680175781e-01 -3.074059486389160156e-01 -3.046422004699707031e-01 -3.019461631774902344e-01 -2.993988990783691406e-01 -2.970018386840820312e-01 -2.947177886962890625e-01 -2.925045490264892578e-01 -2.903263568878173828e-01 -2.881572246551513672e-01 -2.859830856323242188e-01 -2.837998867034912109e-01 -2.816143035888671875e-01 -2.794392108917236328e-01 -2.772905826568603516e-01 -2.751841545104980469e-01 -2.731316089630126953e-01 -2.711415290832519531e-01 -2.692198753356933594e-01 -2.673711776733398438e-01 -2.656003236770629883e-01 -2.639131546020507812e-01 -2.623172998428344727e-01 -2.608220577239990234e-01 -2.594386339187622070e-01 -2.581790685653686523e-01 -2.570556402206420898e-01 -2.560808658599853516e-01 -2.552660703659057617e-01 -2.546210885047912598e-01 -2.541541457176208496e-01 -2.538715004920959473e-01 -1.268884539604187012e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.081047058105468750e-01 -2.687268257141113281e-01 -3.654365539550781250e-01 -3.675723075866699219e-01 -3.275318145751953125e-01 -3.223280906677246094e-01 -3.155908584594726562e-01 -3.185043334960937500e-01 -3.194556236267089844e-01 -3.173313140869140625e-01 -3.165478706359863281e-01 -3.153820037841796875e-01 -3.132867813110351562e-01 -3.111367225646972656e-01 -3.086285591125488281e-01 -3.056302070617675781e-01 -3.025174140930175781e-01 -2.995843887329101562e-01 -2.969493865966796875e-01 -2.945592403411865234e-01 -2.923171520233154297e-01 -2.901501655578613281e-01 -2.880029678344726562e-01 -2.858378887176513672e-01 -2.836375236511230469e-01 -2.814004421234130859e-01 -2.791376113891601562e-01 -2.768707275390625000e-01 -2.746253013610839844e-01 -2.724232673645019531e-01 -2.702798843383789062e-01 -2.682032585144042969e-01 -2.661969661712646484e-01 -2.642629146575927734e-01 -2.624044418334960938e-01 -2.606261968612670898e-01 -2.589359283447265625e-01 -2.573446035385131836e-01 -2.558652162551879883e-01 -2.545121908187866211e-01 -2.533009052276611328e-01 -2.522466182708740234e-01 -2.513628005981445312e-01 -2.506617903709411621e-01 -2.501536607742309570e-01 -2.498456835746765137e-01 -1.248712539672851562e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.118054389953613281e-01 -2.844629287719726562e-01 -3.175406455993652344e-01 -2.976946830749511719e-01 -3.164916038513183594e-01 -3.205018043518066406e-01 -3.134593963623046875e-01 -3.150873184204101562e-01 -3.149447441101074219e-01 -3.118882179260253906e-01 -3.101000785827636719e-01 -3.076605796813964844e-01 -3.039684295654296875e-01 -3.002138137817382812e-01 -2.969241142272949219e-01 -2.942543029785156250e-01 -2.919690608978271484e-01 -2.898409366607666016e-01 -2.877762317657470703e-01 -2.856976985931396484e-01 -2.835531234741210938e-01 -2.813289165496826172e-01 -2.790269851684570312e-01 -2.766652107238769531e-01 -2.742807865142822266e-01 -2.719161510467529297e-01 -2.696039676666259766e-01 -2.673616409301757812e-01 -2.651946544647216797e-01 -2.631015777587890625e-01 -2.610793113708496094e-01 -2.591280937194824219e-01 -2.572511434555053711e-01 -2.554559707641601562e-01 -2.537553310394287109e-01 -2.521650791168212891e-01 -2.507035732269287109e-01 -2.493895292282104492e-01 -2.482414841651916504e-01 -2.472766637802124023e-01 -2.465097904205322266e-01 -2.459529042243957520e-01 -2.456150650978088379e-01 -1.227509379386901855e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -9.650993347167968750e-02 -2.411565780639648438e-01 -3.292655944824218750e-01 -3.325996398925781250e-01 -3.009171485900878906e-01 -3.153986930847167969e-01 -3.174209594726562500e-01 -3.092193603515625000e-01 -3.097157478332519531e-01 -3.079457283020019531e-01 -3.023681640625000000e-01 -2.974452972412109375e-01 -2.936453819274902344e-01 -2.911753654479980469e-01 -2.892210483551025391e-01 -2.873008251190185547e-01 -2.854161262512207031e-01 -2.834584712982177734e-01 -2.813479900360107422e-01 -2.790985107421875000e-01 -2.767131328582763672e-01 -2.742152214050292969e-01 -2.716710567474365234e-01 -2.691543102264404297e-01 -2.667145729064941406e-01 -2.643685340881347656e-01 -2.621123790740966797e-01 -2.599346637725830078e-01 -2.578251361846923828e-01 -2.557778358459472656e-01 -2.537938356399536133e-01 -2.518814802169799805e-01 -2.500555515289306641e-01 -2.483365535736083984e-01 -2.467473745346069336e-01 -2.453118562698364258e-01 -2.440534234046936035e-01 -2.429926991462707520e-01 -2.421476244926452637e-01 -2.415331006050109863e-01 -2.411599159240722656e-01 -1.205173730850219727e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -9.754800796508789062e-02 -2.422108650207519531e-01 -3.281679153442382812e-01 -3.301224708557128906e-01 -2.978520393371582031e-01 -3.115978240966796875e-01 -3.120388984680175781e-01 -3.001136779785156250e-01 -2.935528755187988281e-01 -2.890353202819824219e-01 -2.875812053680419922e-01 -2.864394187927246094e-01 -2.847256660461425781e-01 -2.831292152404785156e-01 -2.813720703125000000e-01 -2.792813777923583984e-01 -2.770037651062011719e-01 -2.745122909545898438e-01 -2.718112468719482422e-01 -2.690341472625732422e-01 -2.663159370422363281e-01 -2.637312412261962891e-01 -2.612853050231933594e-01 -2.589511871337890625e-01 -2.567000389099121094e-01 -2.545088529586791992e-01 -2.523642778396606445e-01 -2.502648830413818359e-01 -2.482202053070068359e-01 -2.462491989135742188e-01 -2.443780899047851562e-01 -2.426372766494750977e-01 -2.410575151443481445e-01 -2.396675348281860352e-01 -2.384928464889526367e-01 -2.375551462173461914e-01 -2.368720173835754395e-01 -2.364566326141357422e-01 -1.181586384773254395e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -9.677171707153320312e-02 -2.404694557189941406e-01 -3.267850875854492188e-01 -3.284969329833984375e-01 -2.924952507019042969e-01 -2.876186370849609375e-01 -2.813611030578613281e-01 -2.836740016937255859e-01 -2.842299938201904297e-01 -2.820332050323486328e-01 -2.810022830963134766e-01 -2.796196937561035156e-01 -2.774021625518798828e-01 -2.751228809356689453e-01 -2.725207805633544922e-01 -2.694828510284423828e-01 -2.663383483886718750e-01 -2.633447647094726562e-01 -2.606091499328613281e-01 -2.580895423889160156e-01 -2.557070255279541016e-01 -2.534058094024658203e-01 -2.511459589004516602e-01 -2.489053010940551758e-01 -2.466810941696166992e-01 -2.444853782653808594e-01 -2.423429489135742188e-01 -2.402895689010620117e-01 -2.383662462234497070e-01 -2.366131544113159180e-01 -2.350662946701049805e-01 -2.337561249732971191e-01 -2.327080965042114258e-01 -2.319431304931640625e-01 -2.314773797988891602e-01 -1.156604886054992676e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -9.979057312011718750e-02 -2.537522315979003906e-01 -2.830648422241210938e-01 -2.651166915893554688e-01 -2.815239429473876953e-01 -2.847738265991210938e-01 -2.781751155853271484e-01 -2.792267799377441406e-01 -2.787022590637207031e-01 -2.755846977233886719e-01 -2.735645771026611328e-01 -2.709655761718750000e-01 -2.672610282897949219e-01 -2.634909152984619141e-01 -2.601156234741210938e-01 -2.572710514068603516e-01 -2.547571659088134766e-01 -2.523818016052246094e-01 -2.500698566436767578e-01 -2.477639913558959961e-01 -2.454299926757812500e-01 -2.430689334869384766e-01 -2.406971454620361328e-01 -2.383475303649902344e-01 -2.360708713531494141e-01 -2.339247465133666992e-01 -2.319628000259399414e-01 -2.302286028861999512e-01 -2.287571430206298828e-01 -2.275778055191040039e-01 -2.267151474952697754e-01 -2.261888384819030762e-01 -1.130059361457824707e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.590555191040039062e-02 -2.145178318023681641e-01 -2.925310134887695312e-01 -2.951655387878417969e-01 -2.666664123535156250e-01 -2.790277004241943359e-01 -2.803776264190673828e-01 -2.726697921752929688e-01 -2.725853919982910156e-01 -2.705156803131103516e-01 -2.651045322418212891e-01 -2.602493762969970703e-01 -2.563562393188476562e-01 -2.536022663116455078e-01 -2.512855529785156250e-01 -2.489926815032958984e-01 -2.467285394668579102e-01 -2.444102764129638672e-01 -2.419813871383666992e-01 -2.394671440124511719e-01 -2.368870973587036133e-01 -2.342795133590698242e-01 -2.317214012145996094e-01 -2.292991876602172852e-01 -2.270845174789428711e-01 -2.251279950141906738e-01 -2.234662771224975586e-01 -2.221308350563049316e-01 -2.211507558822631836e-01 -2.205508947372436523e-01 -1.101744174957275391e-01
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.638620376586914062e-02 -2.142975330352783203e-01 -2.898399829864501953e-01 -2.911112308502197266e-01 -2.621309757232666016e-01 -2.735912799835205078e-01 -2.734076976776123047e-01 -2.623918056488037109e-01 -2.560453414916992188e-01 -2.514576911926269531e-01 -2.494962215423583984e-01 -2.477905750274658203e-01 -2.455747127532958984e-01 -2.434409856796264648e-01 -2.411675453186035156e-01 -2.386183738708496094e-01 -2.359311580657958984e-01 -2.331043481826782227e-01 -2.301619052886962891e-01 -2.272361516952514648e-01 -2.244660854339599609e-01 -2.219482660293579102e-01 -2.197325229644775391e-01 -2.178490161895751953e-01 -2.163286805152893066e-01 -2.152061462402343750e-01 -2.145151495933532715e-01 -1.071407794952392578e-01
